state,position,name,screen_name,party,congress
NC,Representative,Alma Adams,RepAdams,D,116
AL,Representative,Robert Aderholt,Robert_Aderholt,R,116
CA,Representative,Pete Aguilar,RepPeteAguilar,D,116
GA,Representative,Rick Allen,RepRickAllen,R,116
TX,Representative,Colin Allred,RepColinAllred,D,116
MI,Representative,Justin Amash,justinamash,L,116
NV,Representative,Mark Amodei,MarkAmodeiNV2,R,116
ND,Representative,Kelly Armstrong,RepArmstrongND,R,116
TX,Representative,Jodey Arrington,RepArrington,R,116
IA,Representative,Cynthia Axne,RepCindyAxne,D,116
TX,Representative,Brian Babin,RepBrianBabin,R,116
NE,Representative,Don Bacon,RepDonBacon,R,116
IN,Representative,James Baird,RepJimBaird,R,116
OH,Representative,Troy Balderson,RepBalderson,R,116
IN,Representative,Jim Banks,RepJimBanks,R,116
KY,Representative,Andy Barr,RepAndyBarr,R,116
CA,Representative,Karen Bass,RepKarenBass,D,116
OH,Representative,Joyce Beatty,RepBeatty,D,116
CA,Representative,Ami Bera,RepBera,D,116
MI,Representative,Jack Bergman,RepJackBergman,R,116
TX,Representative,Eddie Bernice,RepEBJ,D,116
VA,Representative,"Donald Beyer, Jr",RepDonBeyer,D,116
AZ,Representative,Andy Biggs,RepAndyBiggsAZ,R,116
FL,Representative,Gus Bilirakis,RepGusBilirakis,R,116
GA,Representative,Sanford Bishop,SanfordBishop,D,116
UT,Representative,Rob Bishop,RepRobBishop,R,116
OR,Representative,Earl Blumenauer,repblumenauer,D,116
DE,Representative,Lisa Blunt Rochester,RepLBR,D,116
OR,Representative,Suzanne Bonamici,RepBonamici,D,116
IL,Representative,Mike Bost,RepBost,R,116
PA,Representative,Brendan Boyle,CongBoyle,D,116
TX,Representative,Kevin Brady,RepKevinBrady,R,116
NY,Representative,Anthony Brindisi,RepBrindisi,D,116
AL,Representative,Mo Brooks,RepMoBrooks,R,116
IN,Representative,Susan Brooks,SusanWBrooks,R,116
MD,Representative,Anthony Brown,RepAnthonyBrown,D,116
CA,Representative,Julia Brownley,RepBrownley,D,116
FL,Representative,Vern Buchanan,VernBuchanan,R,116
CO,Representative,Ken Buck,RepKenBuck,R,116
IN,Representative,Larry Bucshon,RepLarryBucshon,R,116
NC,Representative,Ted Budd,RepTedBudd,R,116
TN,Representative,Tim Burchett,RepTimBurchett,R,116
TX,Representative,Michael Burgess,michaelcburgess,R,116
IL,Representative,Cheri Bustos,RepCheri,D,116
FL,Representative,Val Butler Demings,RepValDemings,D,116
NC,Representative,G.K. Butterfield,GKButterfield,D,116
AL,Representative,Bradley Byrne,RepByrne,R,116
CA,Representative,Ken Calvert,KenCalvert,R,116
CA,Representative,Salud Carbajal,RepCarbajal,D,116
CA,Representative,Tony Cördenas,RepCardenas,D,116
IN,Representative,Andr_ Carson,RepAndreCarson,D,116
GA,Representative,Earl Carter,RepBuddyCarter,R,116
TX,Representative,John Carter,JudgeCarter,R,116
PA,Representative,Matt Cartwright,RepCartwright,D,116
HI,Representative,Ed Case,RepEdCase,D,116
IL,Representative,Sean Casten,RepCasten,D,116
